file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\projects\a3_style.css,1,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,105
static\projects\a3_style.css,2,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,0
static\projects\a3_style.css,3,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,6
static\projects\a3_style.css,4,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,5,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,6,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,7,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,8,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,9,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,10,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,11,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,12,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,13,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,36
static\projects\a3_style.css,14,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,37
static\projects\a3_style.css,15,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,62
static\projects\a3_style.css,16,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,62
static\projects\a3_style.css,17,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,62
static\projects\a3_style.css,18,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,31
static\projects\a3_style.css,19,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,0
static\projects\a3_style.css,20,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,0
static\projects\a3_style.css,21,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,5
static\projects\a3_style.css,22,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,44
static\projects\a3_style.css,23,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,43
static\projects\a3_style.css,24,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,1,1
static\projects\a3_style.css,25,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,24
static\projects\a3_style.css,26,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,16
static\projects\a3_style.css,27,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,19
static\projects\a3_style.css,28,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,12
static\projects\a3_style.css,29,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,33
static\projects\a3_style.css,30,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,0
static\projects\a3_style.css,31,css,0b52725b,allisoneto,2026-03-07,18:07:57,-05:00,2026-03-07T18:07:57-05:00,0,0
